"visit_date","total_cost","utm_source","utm_medium","utm_campaign","visitors_count","leads_count","purchases_count","revenue"
2023-06-01,21654,yandex,cpc,freemium,103,103,25,1654810
2023-06-01,57138,yandex,cpc,prof-frontend,78,78,12,1057000
2023-06-01,33026,yandex,cpc,prof-python,62,62,7,613196
2023-06-01,12524,yandex,cpc,base-python,31,31,7,476021
2023-06-01,2028,vk,cpc,prof-python,71,40,5,355564
2023-06-01,3160,vk,cpc,freemium-frontend,80,43,5,338083
2023-06-01,29490,yandex,cpc,prof-java,49,49,4,284590
2023-06-01,18061,yandex,cpc,base-frontend,40,40,3,268515
2023-06-01,3115,vk,cpc,prof-java,51,23,2,232726
2023-06-01,10086,yandex,cpc,prof-data-analytics,14,14,2,220264
2023-06-01,4818,yandex,cpc,prof-professions-brand,13,13,3,154287
2023-06-20,0,telegram,cpp,base-java,3,1,1,151192
2023-06-01,5964,yandex,cpc,dod-php,4,4,1,150255
2023-06-01,151,yandex,cpc,base-professions-retarget,4,4,1,134100
2023-06-07,0,vk,social,hexlet-blog,3,1,1,84000
