"visitor_id","visit_date","utm_source","utm_medium","utm_campaign","lead_id","created_at","amount","closing_reason","status_id"
"9de1f48e9ab2dd70d1b5b918f0b107f112cfeed7",2023-06-01 00:00:00.000,vk,cpc,prof-python,"3123395",2023-06-22 14:14:08.000,0,Не реализовано,143
"252a09c18427a9d89dc9c514e715ca7fc39ccab6",2023-06-01 00:03:00.000,vk,cpc,base-python,"13345415",2023-06-05 09:03:33.000,0,Не реализовано,143
bda524147e91cbd149da877f82c1988c2bccb598,2023-06-01 00:03:00.000,vk,cpc,prof-python,"33562299",2023-06-12 19:59:37.000,0,Не реализовано,143
"5ab49e56e75d659a4fee1e6035f2c7a8802cca61",2023-06-01 00:04:00.000,vk,cpc,prof-java,"48441017",2023-06-08 10:48:05.000,0,Не реализовано,143
"06e57a4e586e652cc034ab9974e2750094a9fc85",2023-06-01 00:06:25.000,vk,cpc,freemium-java,"54290284",2023-06-05 10:30:08.000,0,В работе,141
"7352d2e1499ec4caeeab7a273c58952618dcfeba",2023-06-01 00:07:00.000,vk,cpc,base-python,"58719826",2023-06-18 09:38:40.000,0,В работе,141
"826a81e9eb34b6169c09e2bb1e6d49abb5c3a3e8",2023-06-01 00:08:00.000,vk,cpc,prof-java,"64114781",2023-06-23 13:12:47.000,0,Не реализовано,143
e7829211fdba4f7632b8029e8dcde85bf0dba819,2023-06-01 00:09:00.000,vk,cpc,prof-python,"43897897",2023-06-22 19:19:21.000,0,Не реализовано,143
"5bb3ecdf231eba70b2847490cebe21d90434e614",2023-06-01 00:09:00.000,vk,cpc,prof-python,"75642948",2023-06-20 21:21:12.000,50397,Успешная продажа,142
"662bfe80c1ae7a8d18a2d631f843875b17b7af49",2023-06-01 00:10:00.000,vk,cpc,prof-frontend,"70191204",2023-06-21 16:12:51.000,0,Не реализовано,143
